symbol,company_name,sector,major_sector,SECTOR_CONSUMER,SECTOR_ENERGY,SECTOR_FINANCIAL,SECTOR_MATERIALS,SECTOR_METALS,SECTOR_OTHER,SECTOR_PHARMA,SECTOR_SERVICES
IOC,Indian Oil Corporation Limited,Refineries & Marketing,OTHER,False,False,False,False,False,True,False,False
IRB,IRB Infrastructure Developers Limited,Civil Construction,OTHER,False,False,False,False,False,True,False,False
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Tour Travel Related Services,SERVICES,False,False,False,False,False,False,False,True
IREDA,Indian Renewable Energy Development Agency Limited,Financial Institution,OTHER,False,False,False,False,False,True,False,False
IRFC,Indian Railway Finance Corporation Limited,Financial Institution,OTHER,False,False,False,False,False,True,False,False
ITC,ITC Limited,Diversified FMCG,CONSUMER,True,False,False,False,False,False,False,False
JINDALSTEL,JINDAL STEEL LIMITED,Iron & Steel,OTHER,False,False,False,False,False,True,False,False
JIOFIN,Jio Financial Services Limited,Investment Company,OTHER,False,False,False,False,False,True,False,False
JSWENERGY,JSW Energy Limited,Power Generation,ENERGY,False,True,False,False,False,False,False,False
JSWSTEEL,JSW Steel Limited,Iron & Steel,OTHER,False,False,False,False,False,True,False,False
JUBLFOOD,Jubilant Foodworks Limited,Restaurants,OTHER,False,False,False,False,False,True,False,False
KALYANKJIL,Kalyan Jewellers India Limited,Gems Jewellery And Watches,OTHER,False,False,False,False,False,True,False,False
KEI,KEI Industries Limited,Cables - Electricals,OTHER,False,False,False,False,False,True,False,False
KOTAKBANK,Kotak Mahindra Bank Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
KPITTECH,KPIT Technologies Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
LICHSGFIN,LIC Housing Finance Limited,Housing Finance Company,FINANCIAL,False,False,True,False,False,False,False,False
LICI,Life Insurance Corporation Of India,Life Insurance,OTHER,False,False,False,False,False,True,False,False
LODHA,Lodha Developers Limited,Residential Commercial Projects,OTHER,False,False,False,False,False,True,False,False
LT,Larsen & Toubro Limited,Civil Construction,OTHER,False,False,False,False,False,True,False,False
LTF,L&T Finance Limited,Investment Company,OTHER,False,False,False,False,False,True,False,False
LTIM,LTIMindtree Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
LUPIN,Lupin Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
M&M,,,OTHER,False,False,False,False,False,True,False,False
M&MFIN,,,OTHER,False,False,False,False,False,True,False,False
MANKIND,Mankind Pharma Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
MARICO,Marico Limited,Edible Oil,OTHER,False,False,False,False,False,True,False,False
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,OTHER,False,False,False,False,False,True,False,False
MAXHEALTH,Max Healthcare Institute Limited,Hospital,OTHER,False,False,False,False,False,True,False,False
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,SERVICES,False,False,False,False,False,False,False,True
MFSL,Max Financial Services Limited,Life Insurance,OTHER,False,False,False,False,False,True,False,False
MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,OTHER,False,False,False,False,False,True,False,False
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,OTHER,False,False,False,False,False,True,False,False
MPHASIS,MphasiS Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
MRF,MRF Limited,Tyres & Rubber Products,OTHER,False,False,False,False,False,True,False,False
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC),FINANCIAL,False,False,True,False,False,False,False,False
NATIONALUM,National Aluminium Company Limited,Aluminium,OTHER,False,False,False,False,False,True,False,False
NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,OTHER,False,False,False,False,False,True,False,False
NESTLEIND,Nestle India Limited,Packaged Foods,OTHER,False,False,False,False,False,True,False,False
NHPC,NHPC Limited,Power Generation,ENERGY,False,True,False,False,False,False,False,False
NMDC,NMDC Limited,Industrial Minerals,OTHER,False,False,False,False,False,True,False,False
NTPC,NTPC Limited,Power Generation,ENERGY,False,True,False,False,False,False,False,False
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,OTHER,False,False,False,False,False,True,False,False
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,OTHER,False,False,False,False,False,True,False,False
OFSS,Oracle Financial Services Software Limited,Software Products,OTHER,False,False,False,False,False,True,False,False
OIL,Oil India Limited,Oil Exploration & Production,OTHER,False,False,False,False,False,True,False,False
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production,OTHER,False,False,False,False,False,True,False,False
PAGEIND,Page Industries Limited,Garments & Apparels,OTHER,False,False,False,False,False,True,False,False
PATANJALI,Patanjali Foods Limited,Edible Oil,OTHER,False,False,False,False,False,True,False,False
PAYTM,One 97 Communications Limited,Financial Technology (Fintech),OTHER,False,False,False,False,False,True,False,False
PERSISTENT,Persistent Systems Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
PFC,Power Finance Corporation Limited,Financial Institution,OTHER,False,False,False,False,False,True,False,False
PHOENIXLTD,The Phoenix Mills Limited,Residential Commercial Projects,OTHER,False,False,False,False,False,True,False,False
PIDILITIND,Pidilite Industries Limited,Specialty Chemicals,MATERIALS,False,False,False,True,False,False,False,False
PIIND,PI Industries Limited,Pesticides & Agrochemicals,MATERIALS,False,False,False,True,False,False,False,False
PNB,Punjab National Bank,Public Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
POLICYBZR,PB Fintech Limited,Financial Technology (Fintech),OTHER,False,False,False,False,False,True,False,False
POLYCAB,Polycab India Limited,Cables - Electricals,OTHER,False,False,False,False,False,True,False,False
POWERGRID,Power Grid Corporation of India Limited,Power - Transmission,ENERGY,False,True,False,False,False,False,False,False
